"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 17 10:14:50 GMT 2021","Wed Nov 17 10:14:50 GMT 2021","536","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"broken","Wed Nov 17 10:14:55 GMT 2021","Wed Nov 17 10:14:55 GMT 2021","5","ethjs","","","","","test01",""
"failed","Wed Nov 17 10:19:59 GMT 2021","Wed Nov 17 10:20:43 GMT 2021","44023","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"passed","Wed Nov 17 10:14:51 GMT 2021","Wed Nov 17 10:14:52 GMT 2021","621","Ethers.js","","","","","shouldConnectViaEthersJs",""
"broken","Wed Nov 17 10:14:55 GMT 2021","Wed Nov 17 10:14:55 GMT 2021","304","Ethers.js","","","","","testSigningMessages",""
"broken","Wed Nov 17 10:14:55 GMT 2021","Wed Nov 17 10:14:55 GMT 2021","297","Ethers.js","","","","","testQueryHistoricEvents",""
"broken","Wed Nov 17 10:14:52 GMT 2021","Wed Nov 17 10:14:53 GMT 2021","1223","Ethers.js","","","","","testQueryingBlockchain",""
"broken","Wed Nov 17 10:14:53 GMT 2021","Wed Nov 17 10:14:54 GMT 2021","898","Ethers.js","","","","","testWritingToTheBlockchain",""
"passed","Wed Nov 17 10:18:09 GMT 2021","Wed Nov 17 10:18:55 GMT 2021","45897","tests.truffle","test_truffle","","","","test_truffle_migration",""
"passed","Wed Nov 17 10:14:54 GMT 2021","Wed Nov 17 10:14:54 GMT 2021","5","Ethers.js","","","","","testContracts",""
"skipped","Wed Nov 17 10:18:09 GMT 2021","Wed Nov 17 10:18:09 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"broken","Wed Nov 17 10:15:00 GMT 2021","Wed Nov 17 10:15:01 GMT 2021","675","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"passed","Wed Nov 17 10:14:50 GMT 2021","Wed Nov 17 10:14:51 GMT 2021","1003","Ethers.js","","","","","shouldCountTransactions",""
"failed","Wed Nov 17 10:18:55 GMT 2021","Wed Nov 17 10:19:59 GMT 2021","64144","tests.truffle","test_truffle","","","","test_truffle_test",""
"broken","Wed Nov 17 10:14:54 GMT 2021","Wed Nov 17 10:14:55 GMT 2021","580","Ethers.js","","","","","testReadOnlyMethods",""
"passed","Wed Nov 17 10:14:55 GMT 2021","Wed Nov 17 10:14:55 GMT 2021","4","Ethers.js","","","","","testStateChangingMethods",""
"passed","Wed Nov 17 10:14:55 GMT 2021","Wed Nov 17 10:14:55 GMT 2021","4","ethjs","","","","","Connection test (js)",""
"passed","Wed Nov 17 10:14:52 GMT 2021","Wed Nov 17 10:14:52 GMT 2021","1","Ethers.js","","","","","testSigner",""
"skipped","Wed Nov 17 10:18:09 GMT 2021","Wed Nov 17 10:18:09 GMT 2021","0","tests.brownie","test_brownie","","","","test_one",""
"skipped","Wed Nov 17 10:18:09 GMT 2021","Wed Nov 17 10:18:09 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
