"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 10 09:28:57 GMT 2021","Fri Dec 10 09:29:29 GMT 2021","31490","tests.brownie.token.tests","test_transfer","","","","test_transfer_to_self",""
"broken","Fri Dec 10 09:21:05 GMT 2021","Fri Dec 10 09:23:38 GMT 2021","152977","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"broken","Fri Dec 10 09:23:38 GMT 2021","Fri Dec 10 09:23:38 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"broken","Fri Dec 10 09:26:47 GMT 2021","Fri Dec 10 09:27:19 GMT 2021","31759","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"broken","Fri Dec 10 09:27:19 GMT 2021","Fri Dec 10 09:27:51 GMT 2021","31700","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"broken","Fri Dec 10 09:29:29 GMT 2021","Fri Dec 10 09:30:01 GMT 2021","31530","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Fri Dec 10 09:34:28 GMT 2021","Fri Dec 10 09:35:00 GMT 2021","31685","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"broken","Fri Dec 10 09:32:44 GMT 2021","Fri Dec 10 09:33:16 GMT 2021","31523","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
"passed","Fri Dec 10 09:19:58 GMT 2021","Fri Dec 10 09:19:58 GMT 2021","1","Ethers.js","","","","","testSigner",""
"passed","Fri Dec 10 09:20:01 GMT 2021","Fri Dec 10 09:20:01 GMT 2021","5","Ethers.js","","","","","testContracts",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"broken","Fri Dec 10 09:20:04 GMT 2021","Fri Dec 10 09:20:04 GMT 2021","5","ethjs","","","","","test01",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
"broken","Fri Dec 10 09:33:20 GMT 2021","Fri Dec 10 09:33:52 GMT 2021","31459","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"broken","Fri Dec 10 09:35:32 GMT 2021","Fri Dec 10 09:35:32 GMT 2021","199","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"passed","Fri Dec 10 09:33:16 GMT 2021","Fri Dec 10 09:33:20 GMT 2021","4139","tests.brownie.token.tests","test_transferFrom","","","","test_total_supply_not_affected",""
"broken","Fri Dec 10 09:29:29 GMT 2021","Fri Dec 10 09:29:29 GMT 2021","571","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"passed","Fri Dec 10 09:20:52 GMT 2021","Fri Dec 10 09:20:54 GMT 2021","1665","tests.brownie","test_brownie","","","","test_brownie_connect",""
"broken","Fri Dec 10 09:20:03 GMT 2021","Fri Dec 10 09:20:03 GMT 2021","458","Ethers.js","","","","","testSigningMessages",""
"passed","Fri Dec 10 09:32:10 GMT 2021","Fri Dec 10 09:32:44 GMT 2021","34498","tests.brownie.token.tests","test_transferFrom","","","","test_caller_approval_affected",""
"passed","Fri Dec 10 09:34:24 GMT 2021","Fri Dec 10 09:34:28 GMT 2021","4894","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_returns_true",""
"broken","Fri Dec 10 09:20:02 GMT 2021","Fri Dec 10 09:20:03 GMT 2021","457","Ethers.js","","","","","testQueryHistoricEvents",""
"broken","Fri Dec 10 09:19:54 GMT 2021","Fri Dec 10 09:19:55 GMT 2021","766","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"passed","Fri Dec 10 09:20:02 GMT 2021","Fri Dec 10 09:20:02 GMT 2021","5","Ethers.js","","","","","testStateChangingMethods",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approve",""
"broken","Fri Dec 10 09:26:16 GMT 2021","Fri Dec 10 09:26:47 GMT 2021","31604","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"passed","Fri Dec 10 09:19:55 GMT 2021","Fri Dec 10 09:19:57 GMT 2021","1792","Ethers.js","","","","","shouldCountTransactions",""
"broken","Fri Dec 10 09:28:25 GMT 2021","Fri Dec 10 09:28:57 GMT 2021","31719","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"broken","Fri Dec 10 09:19:58 GMT 2021","Fri Dec 10 09:20:00 GMT 2021","2020","Ethers.js","","","","","testQueryingBlockchain",""
"broken","Fri Dec 10 09:20:00 GMT 2021","Fri Dec 10 09:20:01 GMT 2021","1518","Ethers.js","","","","","testWritingToTheBlockchain",""
"broken","Fri Dec 10 09:30:35 GMT 2021","Fri Dec 10 09:31:06 GMT 2021","31553","tests.brownie.token.tests","test_transferFrom","","","","test_sender_balance_decreases",""
"broken","Fri Dec 10 09:20:09 GMT 2021","Fri Dec 10 09:20:10 GMT 2021","993","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"broken","Fri Dec 10 09:27:54 GMT 2021","Fri Dec 10 09:28:25 GMT 2021","31711","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"broken","Fri Dec 10 09:31:06 GMT 2021","Fri Dec 10 09:31:38 GMT 2021","31718","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"broken","Fri Dec 10 09:27:51 GMT 2021","Fri Dec 10 09:27:54 GMT 2021","2625","tests.brownie.token.tests","test_transfer","","","","test_returns_true",""
"broken","Fri Dec 10 09:20:01 GMT 2021","Fri Dec 10 09:20:02 GMT 2021","926","Ethers.js","","","","","testReadOnlyMethods",""
"broken","Fri Dec 10 09:35:00 GMT 2021","Fri Dec 10 09:35:32 GMT 2021","31527","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_balance",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"passed","Fri Dec 10 09:20:03 GMT 2021","Fri Dec 10 09:20:04 GMT 2021","992","Ethers.js","","","","","shouldCheckStaticJsonRpcProvider",""
"passed","Fri Dec 10 09:20:04 GMT 2021","Fri Dec 10 09:20:04 GMT 2021","4","ethjs","","","","","Connection test (js)",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"passed","Fri Dec 10 09:19:57 GMT 2021","Fri Dec 10 09:19:58 GMT 2021","1063","Ethers.js","","","","","shouldConnectViaEthersJs",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"broken","Fri Dec 10 09:31:38 GMT 2021","Fri Dec 10 09:32:10 GMT 2021","31771","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"broken","Fri Dec 10 09:33:52 GMT 2021","Fri Dec 10 09:34:24 GMT 2021","31708","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Fri Dec 10 09:24:41 GMT 2021","Fri Dec 10 09:24:41 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
