"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 16 11:25:43 GMT 2021","Thu Dec 16 11:25:44 GMT 2021","878","Ethers.js","","","","","testWritingToTheBlockchain",""
"passed","Thu Dec 16 11:27:19 GMT 2021","Thu Dec 16 11:27:24 GMT 2021","4816","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"failed","Thu Dec 16 11:30:21 GMT 2021","Thu Dec 16 11:30:40 GMT 2021","19529","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"passed","Thu Dec 16 11:27:53 GMT 2021","Thu Dec 16 11:27:58 GMT 2021","5071","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"passed","Thu Dec 16 11:27:17 GMT 2021","Thu Dec 16 11:27:17 GMT 2021","373","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"passed","Thu Dec 16 11:27:16 GMT 2021","Thu Dec 16 11:27:17 GMT 2021","215","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"passed","Thu Dec 16 11:27:24 GMT 2021","Thu Dec 16 11:27:29 GMT 2021","5240","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"failed","Thu Dec 16 11:31:00 GMT 2021","Thu Dec 16 11:31:19 GMT 2021","19629","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"broken","Thu Dec 16 11:29:05 GMT 2021","Thu Dec 16 11:29:12 GMT 2021","7300","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"passed","Thu Dec 16 11:29:25 GMT 2021","Thu Dec 16 11:29:28 GMT 2021","2925","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"broken","Thu Dec 16 11:28:16 GMT 2021","Thu Dec 16 11:28:16 GMT 2021","690","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"passed","Thu Dec 16 11:25:41 GMT 2021","Thu Dec 16 11:25:42 GMT 2021","578","Ethers.js","","","","","shouldConnectViaEthersJs",""
"passed","Thu Dec 16 11:27:17 GMT 2021","Thu Dec 16 11:27:17 GMT 2021","227","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[2]",""
