"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 22 13:28:39 GMT 2021","Wed Dec 22 13:28:46 GMT 2021","6585","Contract: ERC165Storage","","","","","does not allow 0xffffffff",""
"passed","Wed Dec 22 13:30:07 GMT 2021","Wed Dec 22 13:30:13 GMT 2021","5346","Contract: SafeCast","toUint16","","","","downcasts 1",""
"failed","Wed Dec 22 12:34:30 GMT 2021","Wed Dec 22 12:34:47 GMT 2021","16587","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"skipped","Wed Dec 22 13:02:24 GMT 2021","Wed Dec 22 13:02:24 GMT 2021","0","Contract: ERC20Votes","getPastTotalSupply","","","","generally returns the voting balance at the appropriate checkpoint",""
"passed","Wed Dec 22 13:24:47 GMT 2021","Wed Dec 22 13:25:13 GMT 2021","26407","Contract: ERC721PresetMinterPauserAutoId","pausing","","","","cannot mint while paused",""
"passed","Wed Dec 22 13:29:00 GMT 2021","Wed Dec 22 13:29:08 GMT 2021","8418","Contract: ERC1820Implementer","with no registered interfaces","","","","returns false when interface implementation is queried",""
"passed","Wed Dec 22 13:05:02 GMT 2021","Wed Dec 22 13:05:14 GMT 2021","12748","Contract: ERC20PresetMinterPauser","","","","","deployer has the default admin role",""
"passed","Wed Dec 22 13:03:26 GMT 2021","Wed Dec 22 13:04:03 GMT 2021","37290","Contract: ERC1155","like an ERC1155","safeTransferFrom > when called by an operator on behalf of the multiTokenHolder > when operator is approved by multiTokenHolder","","","credits transferred balance to receiver",""
"failed","Wed Dec 22 13:25:47 GMT 2021","Wed Dec 22 13:25:56 GMT 2021","9582","Contract: Create2","deploy","","","","fails deploying a contract if factory contract does not have sufficient balance",""
"passed","Wed Dec 22 13:05:09 GMT 2021","Wed Dec 22 13:05:20 GMT 2021","11085","Contract: SafeERC20","with address that has no contract code","","","","reverts on transferFrom",""
"broken","Wed Dec 22 12:36:28 GMT 2021","Wed Dec 22 12:36:28 GMT 2021","0","Contract: BeaconProxy","","","","","""before all"" hook: deploy implementation for ""upgrade a proxy by upgrading its beacon""",""
"passed","Wed Dec 22 13:31:50 GMT 2021","Wed Dec 22 13:31:59 GMT 2021","8639","Contract: ERC1155","internal functions","_mintBatch > with minted batch of tokens","","","credits the minted batch of tokens",""
"passed","Wed Dec 22 13:14:26 GMT 2021","Wed Dec 22 13:15:16 GMT 2021","50621","Contract: ERC20","withdraw","","","","to other account",""
"passed","Wed Dec 22 13:35:04 GMT 2021","Wed Dec 22 13:35:09 GMT 2021","5382","Contract: SafeCast","toInt16","","","","downcasts -2^15 (-32768)",""
"passed","Wed Dec 22 13:04:11 GMT 2021","Wed Dec 22 13:05:00 GMT 2021","49104","Contract: ERC20Snapshot","totalSupplyAt","","","","reverts with a not-yet-created snapshot id",""
"passed","Wed Dec 22 13:28:43 GMT 2021","Wed Dec 22 13:29:03 GMT 2021","19990","Contract: ERC20","erc20 behaviour","transfer from > when the token owner is not the zero address > when the recipient is not the zero address > when the spender does not have enough approved balance > when the token owner does not have enough balance","","","reverts",""
"passed","Wed Dec 22 13:19:10 GMT 2021","Wed Dec 22 13:19:25 GMT 2021","14796","Contract: ERC20","_burn","for a non zero account > for entire balance","","","decrements totalSupply",""
"passed","Wed Dec 22 13:02:54 GMT 2021","Wed Dec 22 13:03:58 GMT 2021","64209","Contract: ERC20Snapshot","snapshot","","","","creates increasing snapshots ids, starting from 1",""
"passed","Wed Dec 22 13:10:20 GMT 2021","Wed Dec 22 13:10:48 GMT 2021","28243","Contract: ERC20","deposit","","","","to other account",""
"passed","Wed Dec 22 13:03:53 GMT 2021","Wed Dec 22 13:04:00 GMT 2021","7007","Contract: ERC20Permit","","","","","domain separator",""
"passed","Wed Dec 22 13:19:33 GMT 2021","Wed Dec 22 13:20:09 GMT 2021","36390","Contract: SafeERC20","with token that returns no boolean values","approvals > with zero allowance","","","doesn't revert when approving a non-zero allowance",""
"passed","Wed Dec 22 12:32:55 GMT 2021","Wed Dec 22 12:32:57 GMT 2021","1595","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"passed","Wed Dec 22 13:31:27 GMT 2021","Wed Dec 22 13:31:33 GMT 2021","5471","Contract: EnumerableSet","EnumerableBytes32Set","at","","","reverts when retrieving non-existent elements",""
"passed","Wed Dec 22 13:34:33 GMT 2021","Wed Dec 22 13:34:39 GMT 2021","5379","Contract: SafeCast","toInt8","","","","reverts when downcasting 2^7 + 1 (129)",""
"passed","Wed Dec 22 12:47:58 GMT 2021","Wed Dec 22 12:49:24 GMT 2021","86141","Contract: ERC1155","like an ERC1155","balanceOfBatch","","","reverts when one of the addresses is the zero address",""
"passed","Wed Dec 22 12:55:36 GMT 2021","Wed Dec 22 12:55:47 GMT 2021","10896","Contract: ERC1155PresetMinterPauser","Contract interface","AccessControlEnumerable > ERC165's supportsInterface(bytes4)","","","claims support [skip-on-coverage]",""
"passed","Wed Dec 22 13:08:21 GMT 2021","Wed Dec 22 13:09:21 GMT 2021","59801","Contract: SafeERC20","with token that returns false on all calls","","","","reverts on transferFrom",""
"passed","Wed Dec 22 12:50:36 GMT 2021","Wed Dec 22 12:51:34 GMT 2021","58498","Contract: ERC1155","like an ERC1155","balanceOfBatch > when accounts own some tokens","","","returns multiple times the balance of the same address when asked",""
