"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 10 09:42:09 GMT 2021","Fri Dec 10 09:42:10 GMT 2021","880","Ethers.js","","","","","shouldConnectViaEthersJs",""
"passed","Fri Dec 10 09:42:14 GMT 2021","Fri Dec 10 09:42:14 GMT 2021","4","Ethers.js","","","","","testStateChangingMethods",""
"passed","Fri Dec 10 09:45:26 GMT 2021","Fri Dec 10 09:45:29 GMT 2021","3721","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"passed","Fri Dec 10 09:44:49 GMT 2021","Fri Dec 10 09:44:53 GMT 2021","3475","tests.brownie.token.tests","test_transferFrom","","","","test_caller_approval_affected",""
"passed","Fri Dec 10 09:42:16 GMT 2021","Fri Dec 10 09:42:16 GMT 2021","4","ethjs","","","","","Connection test (js)",""
"broken","Fri Dec 10 09:45:02 GMT 2021","Fri Dec 10 09:45:06 GMT 2021","3363","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"broken","Fri Dec 10 09:44:33 GMT 2021","Fri Dec 10 09:44:34 GMT 2021","461","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"broken","Fri Dec 10 09:45:18 GMT 2021","Fri Dec 10 09:45:18 GMT 2021","159","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_approval",""
"failed","Fri Dec 10 09:45:19 GMT 2021","Fri Dec 10 09:45:20 GMT 2021","1845","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"passed","Fri Dec 10 09:44:46 GMT 2021","Fri Dec 10 09:44:49 GMT 2021","3857","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"failed","Fri Dec 10 09:46:30 GMT 2021","Fri Dec 10 09:46:49 GMT 2021","18456","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
