"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 09 12:31:15 GMT 2021","Thu Dec 09 12:32:20 GMT 2021","64258","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"failed","Thu Dec 09 12:40:45 GMT 2021","Thu Dec 09 12:41:22 GMT 2021","36122","tests.truffle","test_truffle","","","","test_truffle_contract",""
"broken","Thu Dec 09 12:30:00 GMT 2021","Thu Dec 09 12:30:00 GMT 2021","450","Ethers.js","","","","","testQueryHistoricEvents",""
"passed","Thu Dec 09 12:30:01 GMT 2021","Thu Dec 09 12:30:01 GMT 2021","950","Ethers.js","","","","","shouldCheckStaticJsonRpcProvider",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self_no_approval",""
"broken","Thu Dec 09 12:30:07 GMT 2021","Thu Dec 09 12:30:08 GMT 2021","963","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"passed","Thu Dec 09 12:36:24 GMT 2021","Thu Dec 09 12:36:26 GMT 2021","2222","tests.brownie.token.tests","test_transfer","","","","test_transfer_to_self",""
"failed","Thu Dec 09 12:39:50 GMT 2021","Thu Dec 09 12:40:45 GMT 2021","55974","tests.truffle","test_truffle","","","","test_truffle_migration",""
"passed","Thu Dec 09 12:32:56 GMT 2021","Thu Dec 09 12:32:59 GMT 2021","3505","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"failed","Thu Dec 09 12:38:32 GMT 2021","Thu Dec 09 12:38:51 GMT 2021","19931","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"broken","Thu Dec 09 12:32:24 GMT 2021","Thu Dec 09 12:32:55 GMT 2021","31217","tests.brownie.token.tests","test_approve","","","","test_approve",""
"passed","Thu Dec 09 12:29:56 GMT 2021","Thu Dec 09 12:29:56 GMT 2021","1","Ethers.js","","","","","testSigner",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
"passed","Thu Dec 09 12:31:02 GMT 2021","Thu Dec 09 12:31:04 GMT 2021","1460","tests.brownie","test_brownie","","","","test_brownie_connect",""
"passed","Thu Dec 09 12:34:08 GMT 2021","Thu Dec 09 12:34:10 GMT 2021","1959","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"broken","Thu Dec 09 12:33:05 GMT 2021","Thu Dec 09 12:33:36 GMT 2021","31233","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"skipped","Thu Dec 09 12:38:32 GMT 2021","Thu Dec 09 12:38:32 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_no_approval",""
"passed","Thu Dec 09 12:30:01 GMT 2021","Thu Dec 09 12:30:01 GMT 2021","4","ethjs","","","","","Connection test (js)",""
"broken","Thu Dec 09 12:36:26 GMT 2021","Thu Dec 09 12:36:27 GMT 2021","545","tests.brownie.token.tests","test_transfer","","","","test_insufficient_balance",""
"broken","Thu Dec 09 12:29:56 GMT 2021","Thu Dec 09 12:29:57 GMT 2021","1787","Ethers.js","","","","","testQueryingBlockchain",""
"failed","Thu Dec 09 12:39:11 GMT 2021","Thu Dec 09 12:39:30 GMT 2021","19201","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"failed","Thu Dec 09 12:41:22 GMT 2021","Thu Dec 09 12:41:45 GMT 2021","22942","tests.truffle","test_truffle","","","","test_truffle_test",""
"broken","Thu Dec 09 12:36:27 GMT 2021","Thu Dec 09 12:36:58 GMT 2021","31422","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Thu Dec 09 12:35:21 GMT 2021","Thu Dec 09 12:35:52 GMT 2021","31591","tests.brownie.token.tests","test_transfer","","","","test_transfer_full_balance",""
"passed","Thu Dec 09 12:29:53 GMT 2021","Thu Dec 09 12:29:55 GMT 2021","1487","Ethers.js","","","","","shouldCountTransactions",""
"passed","Thu Dec 09 12:34:15 GMT 2021","Thu Dec 09 12:34:18 GMT 2021","2532","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"broken","Thu Dec 09 12:29:59 GMT 2021","Thu Dec 09 12:30:00 GMT 2021","893","Ethers.js","","","","","testReadOnlyMethods",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"broken","Thu Dec 09 12:34:49 GMT 2021","Thu Dec 09 12:35:21 GMT 2021","31410","tests.brownie.token.tests","test_transfer","","","","test_returns_true",""
"passed","Thu Dec 09 12:32:59 GMT 2021","Thu Dec 09 12:33:03 GMT 2021","3770","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"failed","Thu Dec 09 12:38:52 GMT 2021","Thu Dec 09 12:39:11 GMT 2021","19332","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_total_supply_not_affected",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_approval_not_affected",""
"passed","Thu Dec 09 12:30:00 GMT 2021","Thu Dec 09 12:30:00 GMT 2021","4","Ethers.js","","","","","testStateChangingMethods",""
"passed","Thu Dec 09 12:29:59 GMT 2021","Thu Dec 09 12:29:59 GMT 2021","7","Ethers.js","","","","","testContracts",""
"failed","Thu Dec 09 12:39:30 GMT 2021","Thu Dec 09 12:39:49 GMT 2021","19400","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"passed","Thu Dec 09 12:32:24 GMT 2021","Thu Dec 09 12:32:24 GMT 2021","192","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"passed","Thu Dec 09 12:32:23 GMT 2021","Thu Dec 09 12:32:23 GMT 2021","181","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[0]",""
"broken","Thu Dec 09 12:34:18 GMT 2021","Thu Dec 09 12:34:49 GMT 2021","31604","tests.brownie.token.tests","test_transfer","","","","test_total_supply_not_affected",""
"passed","Thu Dec 09 12:32:23 GMT 2021","Thu Dec 09 12:32:24 GMT 2021","186","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[1]",""
"broken","Thu Dec 09 12:30:01 GMT 2021","Thu Dec 09 12:30:01 GMT 2021","5","ethjs","","","","","test01",""
"passed","Thu Dec 09 12:34:13 GMT 2021","Thu Dec 09 12:34:15 GMT 2021","2177","tests.brownie.token.tests","test_transfer","","","","test_sender_balance_decreases",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens_without_approval",""
"failed","Thu Dec 09 12:41:45 GMT 2021","Thu Dec 09 12:42:01 GMT 2021","16051","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"broken","Thu Dec 09 12:35:52 GMT 2021","Thu Dec 09 12:36:24 GMT 2021","31647","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_insufficient_balance",""
"broken","Thu Dec 09 12:29:57 GMT 2021","Thu Dec 09 12:29:59 GMT 2021","1324","Ethers.js","","","","","testWritingToTheBlockchain",""
"passed","Thu Dec 09 12:32:24 GMT 2021","Thu Dec 09 12:32:24 GMT 2021","182","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"broken","Thu Dec 09 12:38:31 GMT 2021","Thu Dec 09 12:38:31 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_revoked_approval",""
