"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 10 08:13:31 GMT 2021","Fri Dec 10 08:13:31 GMT 2021","4","ethjs","","","","","Connection test (js)",""
"broken","Fri Dec 10 08:15:08 GMT 2021","Fri Dec 10 08:18:10 GMT 2021","182748","tests.brownie","test_brownie","","","","test_brownie_deploy",""
"broken","Fri Dec 10 08:23:34 GMT 2021","Fri Dec 10 08:24:05 GMT 2021","31416","tests.brownie.token.tests","test_transfer","","","","test_transfer_event_fires",""
"broken","Fri Dec 10 08:20:46 GMT 2021","Fri Dec 10 08:20:46 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_returns_true",""
"broken","Fri Dec 10 08:20:44 GMT 2021","Fri Dec 10 08:20:44 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[3]",""
"failed","Fri Dec 10 08:25:39 GMT 2021","Fri Dec 10 08:26:00 GMT 2021","21228","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"broken","Fri Dec 10 08:20:45 GMT 2021","Fri Dec 10 08:20:45 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_modify_approve",""
"broken","Fri Dec 10 08:25:37 GMT 2021","Fri Dec 10 08:25:37 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_caller_balance_not_affected",""
"broken","Fri Dec 10 08:13:29 GMT 2021","Fri Dec 10 08:13:30 GMT 2021","432","Ethers.js","","","","","testSigningMessages",""
"broken","Fri Dec 10 08:20:45 GMT 2021","Fri Dec 10 08:20:45 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_initial_approval_is_zero[4]",""
"broken","Fri Dec 10 08:25:38 GMT 2021","Fri Dec 10 08:25:38 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_to_self",""
"broken","Fri Dec 10 08:20:52 GMT 2021","Fri Dec 10 08:21:24 GMT 2021","31584","tests.brownie.token.tests","test_transfer","","","","test_receiver_balance_increases",""
"broken","Fri Dec 10 08:20:45 GMT 2021","Fri Dec 10 08:20:45 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approve",""
"broken","Fri Dec 10 08:22:30 GMT 2021","Fri Dec 10 08:23:02 GMT 2021","31618","tests.brownie.token.tests","test_transfer","","","","test_transfer_zero_tokens",""
"broken","Fri Dec 10 08:20:45 GMT 2021","Fri Dec 10 08:20:45 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_revoke_approve",""
"failed","Fri Dec 10 08:26:00 GMT 2021","Fri Dec 10 08:26:19 GMT 2021","19101","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"broken","Fri Dec 10 08:13:36 GMT 2021","Fri Dec 10 08:13:37 GMT 2021","925","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"broken","Fri Dec 10 08:13:25 GMT 2021","Fri Dec 10 08:13:27 GMT 2021","1817","Ethers.js","","","","","testQueryingBlockchain",""
"broken","Fri Dec 10 08:13:22 GMT 2021","Fri Dec 10 08:13:22 GMT 2021","719","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"broken","Fri Dec 10 08:25:38 GMT 2021","Fri Dec 10 08:25:38 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_event_fires",""
"broken","Fri Dec 10 08:20:47 GMT 2021","Fri Dec 10 08:20:47 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approval_event_fires",""
"broken","Fri Dec 10 08:21:56 GMT 2021","Fri Dec 10 08:21:58 GMT 2021","2421","tests.brownie.token.tests","test_transfer","","","","test_returns_true",""
"broken","Fri Dec 10 08:13:28 GMT 2021","Fri Dec 10 08:13:29 GMT 2021","869","Ethers.js","","","","","testReadOnlyMethods",""
"skipped","Fri Dec 10 08:25:39 GMT 2021","Fri Dec 10 08:25:39 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"failed","Fri Dec 10 08:26:19 GMT 2021","Fri Dec 10 08:26:38 GMT 2021","19170","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Fri Dec 10 08:20:46 GMT 2021","Fri Dec 10 08:20:46 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_approve_self",""
"broken","Fri Dec 10 08:20:46 GMT 2021","Fri Dec 10 08:20:46 GMT 2021","0","tests.brownie.token.tests","test_approve","","","","test_only_affects_target",""
"broken","Fri Dec 10 08:25:38 GMT 2021","Fri Dec 10 08:25:38 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_zero_tokens",""
"broken","Fri Dec 10 08:13:27 GMT 2021","Fri Dec 10 08:13:28 GMT 2021","1366","Ethers.js","","","","","testWritingToTheBlockchain",""
"broken","Fri Dec 10 08:25:38 GMT 2021","Fri Dec 10 08:25:38 GMT 2021","1","tests.brownie.token.tests","test_transferFrom","","","","test_returns_true",""
"passed","Fri Dec 10 08:13:24 GMT 2021","Fri Dec 10 08:13:25 GMT 2021","980","Ethers.js","","","","","shouldConnectViaEthersJs",""
"passed","Fri Dec 10 08:13:29 GMT 2021","Fri Dec 10 08:13:29 GMT 2021","4","Ethers.js","","","","","testStateChangingMethods",""
"broken","Fri Dec 10 08:25:38 GMT 2021","Fri Dec 10 08:25:38 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_transfer_full_balance",""
"broken","Fri Dec 10 08:25:37 GMT 2021","Fri Dec 10 08:25:37 GMT 2021","0","tests.brownie.token.tests","test_transferFrom","","","","test_receiver_balance_increases",""
